englishname,hebrewname,morphology,definition,transliteration,dictionary
He-He.,הֵא II,pr. n. m.,"[{'definition': '<i>He-He.</i> <a class=""refLink"" href=""/Pirkei_Avot.5.23"" data-ref=""Pirkei Avot 5:23"">Ab. V, 23</a> <span dir=""rtl"">בן הא הא</span>. <a class=""refLink"" href=""/Chagigah.9b.17"" data-ref=""Chagigah 9b:17"">Ḥag. 9ᵇ</a> <span dir=""rtl"">בר הֵי הֵי</span> (Ms. M. 2 <span dir=""rtl"">הֵיהֵי</span>); <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.328.2"" data-ref=""Yalkut Shimoni on Nach 328:2"">Yalk. Is. 328</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.591.1"" data-ref=""Yalkut Shimoni on Nach 591:1"">Yalk. Mal. 591</a> <span dir=""rtl"">בר הא הא</span> (v. Rabb. D. S. to Ḥag. l. c. note 19).'}]",,Jastrow Dictionary
Ḥabu,הָבוּ,pr. n. m.,"[{'definition': '<i>Bar Habu</i> (<i>Ḥabu</i>), a writer of T’fillin and M’zuzoth. <a class=""refLink"" href=""/Berakhot.53b.11"" data-ref=""Berakhot 53b:11"">Ber. 53ᵇ</a> אדבי בר ח׳ Ms. M. (Ar. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ה׳.1"" data-ref=""Jastrow, ה׳ 1"">ה׳</a>, ed. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אַבָּהוּ.1"" data-ref=""Jastrow, אַבָּהוּ 1"">אבהו</a>) over the lights in the house of Bar H.—<a class=""refLink"" href=""/Megillah.18b.16"" data-ref=""Megillah 18b:16"">Meg. 18ᵇ</a> (v. Rabb. D. S. a. l. note 60). <a class=""refLink"" href=""/Bava_Metzia.29b.9"" data-ref=""Bava Metzia 29b:9"">B. Mets. 29ᵇ</a>'}]",,Jastrow Dictionary
Bar Hădaya,הֲדָיָא II,pr. n. m.,"[{'definition': ' (corresp. to h. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דָּאָה I.1"" data-ref=""Jastrow, דָּאָה I 1"">דָּאָה</a> or <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דַּיָּה.1"" data-ref=""Jastrow, דַּיָּה 1"">דַּיָּה</a>, v. discussion <a class=""refLink"" href=""/Chullin.63b"" data-ref=""Chullin 63b"">Ḥull. 63ᵇ</a>) '}, {'definition': ' a bird of the <i>hawk</i> species. Sifra Sh’mini Par. 3, ch. V (ref. to <span dir=""rtl"">הנץ למינהו</span>, <a class=""refLink"" href=""/Leviticus.11.16"" data-ref=""Leviticus 11:16"">Lev. XI, 16</a>) ‘after its kind’ <span dir=""rtl"">להביא בן ההדייה</span> refers to <i>ben hădaya;</i> <a class=""refLink"" href=""/Chullin.63a.15"" data-ref=""Chullin 63a:15"">Ḥull. 63ᵃ</a> <span dir=""rtl"">בר חיריא</span> ed., Ar. <span dir=""rtl"">בר הוֹדָיָא</span>. <a class=""refLink"" href=""/Vayikra_Rabbah.5.4"" data-ref=""Vayikra Rabbah 5:4"">Lev. R. s. 5</a>, beg. <span dir=""rtl"">הדין בר הדיח וכ׳</span> ed. (Ar. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הוֹדָיָא.1"" data-ref=""Jastrow, הוֹדָיָא 1"">הודיא</a>, v. ed. Koh. s. v.) this hawk sees its food at a distance of &c. (v. <a class=""refLink"" href=""/Chullin.63b"" data-ref=""Chullin 63b"">Ḥull. 63ᵇ</a>, ref. to <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ראי.1"" data-ref=""Jastrow, ראי 1"">רָאָה</a> a. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דָּאָה I.1"" data-ref=""Jastrow, דָּאָה I 1"">דָּאָה</a>).', 'number': '1)'}, {'definition': ' pr. n. m. <i>Bar Hădaya</i>. <a class=""refLink"" href=""/Berakhot.56a.2"" data-ref=""Berakhot 56a:2"">Ber. 56ᵃ</a> (an interpreter of dreams). <a class=""refLink"" href=""/Avodah_Zarah.30a.9"" data-ref=""Avodah Zarah 30a:9"">Ab. Zar. 30ᵃ</a>', 'number': '—2)'}]",,Jastrow Dictionary
,גּוּמָּל,pr. n. m.,"[{'definition': ' pr. n. m., v. <a class=""refLink"" href=""/Jastrow,_גַּמְלָא III.1"" data-ref=""Jastrow, גַּמְלָא III 1""><span dir=""rtl"">גַּמְלָא</span> III</a>'}]",,Jastrow Dictionary
Hadrian,הַדְרְיָינוֹס,pr. n. m.,"[{'definition': '<i>Hadrian</i>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אַדְרְיָינוֹס.1"" data-ref=""Jastrow, אַדְרְיָינוֹס 1"">אַדְרְיָינוֹס</a>.'}]",,Jastrow Dictionary
,הֲדַרְנִיאֵל,pr. n. m.,"[{'definition': '<i>Hǎdarniel</i> (<i>surrounding God</i>), name of an angel. <a class=""refLink"" href=""/Pesikta_Rabbati.20.1"" data-ref=""Pesikta Rabbati 20:1"">Pesik. R. s. 20</a>.'}]",,Jastrow Dictionary
,גּוּר III,pr. n. m.,"[{'definition': ' כרוך אחריו <a class=""refLink"" href=""/Chullin.78b"" data-ref=""Chullin 78b"">Ḥull. 78ᵇ</a>) <i>young animal, whelp, cub</i>. <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.926.1"" data-ref=""Yalkut Shimoni on Nach 926:1"">Yalk. Job 926</a> <span dir=""rtl"">עלה ג׳ אחד וכ׳</span> a young (R’êm) appeared in Palestine; <a class=""refLink"" href=""/Bereishit_Rabbah.31.13"" data-ref=""Bereishit Rabbah 31:13"">Gen. R. s. 31</a> <span dir=""rtl"">גורא א׳</span> (corr. acc.).—Pl. <span dir=""rtl"">גּוּרִים</span>. <a class=""refLink"" href=""/Bereishit_Rabbah.31.13"" data-ref=""Bereishit Rabbah 31:13"">Ib.</a> <span dir=""rtl"">גּוּרָיו וכ׳</span> his (the R’êm’s) whelps went into the ark. <a class=""refLink"" href=""/Bereishit_Rabbah.98.10"" data-ref=""Bereishit Rabbah 98:10"">Gen. R. s. 98</a> <span dir=""rtl"">גבורה של … של גוריו</span> the strength of the lion and the daring of his whelps.—<span dir=""rtl"">גּוּר אַרְיֵה</span> pr. n. m., v. <a class=""refLink"" href=""/Jastrow,_גּוּרְיָא II.1"" data-ref=""Jastrow, גּוּרְיָא II 1""><span dir=""rtl"">גּוּרְיָא</span> II</a>.'}]",,Jastrow Dictionary
Gorgos,גּוֹרְגּוֹס,pr. n. m.,"[{'definition': ' (Γόργος) <i>Gorgos</i>. <a class=""refLink"" href=""/Tractate_Semachot.2.4"" data-ref=""Tractate Semachot 2:4"">Treat. S’maḥ. II, 4</a> (Asheri to M. Kat. 141 <span dir=""rtl"">גורגנוס</span>).'}]",,Jastrow Dictionary
,גּוּרְיָא II,pr. n. m.,"[{'definition': ' (v. <a class=""refLink"" href=""/Jastrow,_גּוּרְיָא I.1"" data-ref=""Jastrow, גּוּרְיָא I 1"">preced.</a>) pr. n. m. (<i>Abba</i>) <i>Gurya</i>. <a class=""refLink"" href=""/Mishnah_Kiddushin.4.13"" data-ref=""Mishnah Kiddushin 4:13"">Kidd. IV, 13</a>.—Mekh. Mishpat. 20 (ed. Friedm. p. 104ᵃ; 109ᵃ) <span dir=""rtl"">איסי בן גוריה</span>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.351"" data-ref=""Yalkut Shimoni on Torah 351"">Yalk. Ex. 351</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.359.2"" data-ref=""Yalkut Shimoni on Torah 359:2"">ib. 359</a> <span dir=""rtl"">איסי בן גור אריה</span> a. <span dir=""rtl"">בן יהודה</span>.'}]",,Jastrow Dictionary
"Guryon, Guryan",גּוּרְיוֹן,pr. n. m.,"[{'definition': '<i>Guryon, Guryan</i>. '}, {'definition': ' a Tannai (Abba) G. <a class=""refLink"" href=""/Mishnah_Kiddushin.4.13"" data-ref=""Mishnah Kiddushin 4:13"">Kidd. IV, 13</a>.—2) an Amora. Y. M. Kat. III, 82ᵈ bot.; a. fr.—3) G. of Isporak. <a class=""refLink"" href=""/Temurah.30b.42"" data-ref=""Temurah 30b:42"">Tem. 30ᵇ</a>; <a class=""refLink"" href=""/Bava_Kamma.93b.18"" data-ref=""Bava Kamma 93b:18"">B. Kam. 93ᵇ</a> sq.', 'number': '1)'}]",,Jastrow Dictionary
Gursak,גּוּרְסַק,pr. n. m.,"[{'definition': '<i>Gursak</i>. <a class=""refLink"" href=""/Eruvin.29a.9"" data-ref=""Eruvin 29a:9"">Erub. 29ᵃ</a> (Var. <span dir=""rtl"">גורסאק</span>, <span dir=""rtl"">גורסקי</span>, <span dir=""rtl"">גורסיק</span>, v. Rabb. D. S. a. l. note 40).'}]",,Jastrow Dictionary
Gaza,גָּזָא,pr. n. m.,"[{'definition': '<i>Gaza</i>. <a class=""refLink"" href=""/Shabbat.145b.8"" data-ref=""Shabbat 145b:8"">Sabb. 145ᵇ</a> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גָּד ³.1"" data-ref=""Jastrow, גָּד ³ 1"">גדא</a>, Rashi Ms. <span dir=""rtl"">גידל</span>).'}]",,Jastrow Dictionary
Hugdes.,*הוּגְדֵּס,pr. n. m.,"[{'definition': ' (Var. v. infra) pr. n. m. <i>Hugdes.</i> <a class=""refLink"" href=""/Mishnah_Yoma.3.11"" data-ref=""Mishnah Yoma 3:11"">Yoma III, 11</a> Y. ed. (Mish. a. Bab. ed. (38ᵃ) <span dir=""rtl"">הגרוס</span>, Ms. M. <span dir=""rtl"">אגרו׳</span>, v. Rabb. D. S. a. l. note); ib. 38ᵇ <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הוגרם.1"" data-ref=""Jastrow, הוגרם 1"">הוגרס</a> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אַגְרָס.1"" data-ref=""Jastrow, אַגְרָס 1"">אגרס</a>, v. Rabb. D. S. a. l. note); Tosef. ib. II, 8 <span dir=""rtl"">אוגדס</span> (Var. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אגדיס.1"" data-ref=""Jastrow, אגדיס 1"">אגדיס</a>, some ed. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הגדום.1"" data-ref=""Jastrow, הגדום 1"">הגדיס</a>); <a class=""refLink"" href=""/Mishnah_Shekalim.5.1"" data-ref=""Mishnah Shekalim 5:1"">Shek. V, 1</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הוגרם.1"" data-ref=""Jastrow, הוגרם 1"">הוגרס</a> (<a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הוגרם.1"" data-ref=""Jastrow, הוגרם 1"">הוגרס</a>, v. Rabb. D. S. a. l. p. 40, note 6).'}]",,Jastrow Dictionary
"Mar Huna, Resh Galutha",הוּנָא,pr. n. m.,"[{'definition': '<i>Huna</i> (in Y. also <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_חוּנָא.1"" data-ref=""Jastrow, חוּנָא 1"">חונא</a>, <span dir=""rtl"">הונה</span>, <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_חוּנָא.1"" data-ref=""Jastrow, חוּנָא 1"">חונה</a>) '}, {'definition': ' Rab Huna, disciple of Rab. <a class=""refLink"" href=""/Ketubot.106a.6"" data-ref=""Ketubot 106a:6"">Keth. 106ᵃ</a> <span dir=""rtl"">מתיבתא דר׳ ה׳</span> the college of R. H.—<a class=""refLink"" href=""/Gittin.59b.15"" data-ref=""Gittin 59b:15"">Gitt. 59ᵇ</a>. Y. B. Kam. X, end, 7ᶜ; Y. Shebu. IV, end, 37ᵇ; a. v. fr.', 'number': '1)'}, {'definition': ' R. H., an Amora of the fourth gener. Y. Peah III, 17ᵈ bot. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ח׳.1"" data-ref=""Jastrow, ח׳ 1"">(ח׳</a>).).', 'number': '—2)'}, {'definition': ' R. H. Rabbah (Roba) of Sepphoris. Y. Ber. IV, end, 8ᶜ; Y. R. Hash. IV, end, 59ᵈ. <a class=""refLink"" href=""/Bereishit_Rabbah.8.6"" data-ref=""Bereishit Rabbah 8:6"">Gen. R. s. 8</a>; a. e.—<a class=""refLink"" href=""/Yoma.77b.17"" data-ref=""Yoma 77b:17"">Yoma 77ᵇ</a>; <a class=""refLink"" href=""/Chullin.51a.10"" data-ref=""Chullin 51a:10"">Ḥull. 51ᵃ</a> <span dir=""rtl"">ר׳ ה׳ צפוראה</span> (prob. the same).', 'number': '—3)'}, {'definition': '<i>Mar Huna, Resh Galutha</i>. Y. Kil. IX, 32ᵇ (read <span dir=""rtl"">מר</span> for <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_רַב.1"" data-ref=""Jastrow, רַב 1"">רב</a>). [Ib. bot., strike out <span dir=""rtl"">ריש גל׳</span>, v. <a class=""refLink"" href=""/Moed_Katan.25a.24"" data-ref=""Moed Katan 25a:24"">M. Kat. 25ᵃ</a>]; a. others. V. Fr. M’bo, p. 73ᵃ, sq. [<span dir=""rtl"">הונא</span>, <a class=""refLink"" href=""/Gittin.86b.26"" data-ref=""Gittin 86b:26"">Gitt. 86ᵇ</a>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הֲוָא.1"" data-ref=""Jastrow, הֲוָא 1"">הֵוָא</a>.]', 'number': '—4)'}]",,Jastrow Dictionary
,הונדקס,pr. n. m.,"[{'definition': ' pr. n. m. Y. Sabb. XVI, 15ᵈ top <span dir=""rtl"">מתניתא דר׳ ה׳</span>, prob. a corruption for <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_יוֹסָא.1"" data-ref=""Jastrow, יוֹסָא 1"">יוסה</a>, v. Mishn. a. l. [The entire passage seems to be corrupt, v. Bab. <a class=""refLink"" href=""/Shabbat.117b"" data-ref=""Shabbat 117b"">Sabb. 117ᵇ</a>, sq.]'}]",,Jastrow Dictionary
Herod,הוֹרְדוֹס,pr. n. m.,"[{'definition': '<i>Herod</i>, the Idumean, King of Judæa. <a class=""refLink"" href=""/Bava_Batra.3b.14"" data-ref=""Bava Batra 3b:14"">B. Bath. 3ᵇ</a>. <a class=""refLink"" href=""/Bava_Batra.4a.6"" data-ref=""Bava Batra 4a:6"">Ib. 4ᵃ</a>, a. e. <span dir=""rtl"">בנין ה׳</span>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_בִּנְיָן.1"" data-ref=""Jastrow, בִּנְיָן 1"">בִּנְיָן</a>. <a class=""refLink"" href=""/Vayikra_Rabbah.35.10"" data-ref=""Vayikra Rabbah 35:10"">Lev. R. s. 35</a>; <a class=""refLink"" href=""/Taanit.23a.3"" data-ref=""Taanit 23a:3"">Taan. 23ᵃ</a>; a. fr.'}]",,Jastrow Dictionary
Hyrcan,הוֹרְקְנוֹס,pr. n. m.,"[{'definition': '<i>Hyrcan</i>, '}, {'definition': ' a Maccabean prince and High-priest, brother to Aristobule. <a class=""refLink"" href=""/Bava_Kamma.82b.16"" data-ref=""Bava Kamma 82b:16"">B. Kam. 82ᵇ</a>; <a class=""refLink"" href=""/Sotah.49b.8"" data-ref=""Sotah 49b:8"">Sot. 49ᵇ</a>', 'number': '1)'}, {'definition': ' father of R. Eliezer. <a class=""refLink"" href=""/Pirkei_Avot.2.8"" data-ref=""Pirkei Avot 2:8"">Ab. II, 8</a>; a. fr.—3) son of R. Eliezer. <a class=""refLink"" href=""/Sanhedrin.68a.2"" data-ref=""Sanhedrin 68a:2"">Snh. 68ᵃ</a>', 'number': '—2)'}]",,Jastrow Dictionary
Hoshaya,הוֹשַׁעְיָא,pr. n. m.,"[{'definition': '<i>Hoshaya</i> (in Bab. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אוֹשַׁעְיָא.1"" data-ref=""Jastrow, אוֹשַׁעְיָא 1"">אוֹשַׁעְיָא</a>, q. v.) '}, {'definition': ' R. H. the Elder <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_רַבָּה I.1"" data-ref=""Jastrow, רַבָּה I 1"">(רַבָּה</a>). Y. Kidd. I, 60ᵃ bot.; Y. Keth. IX, 32ᵈ, sq. <span dir=""rtl"">אבי המשנה</span> the author of the Mishnah (Tosefta); a. fr.', 'number': '1)'}, {'definition': ' several Amoraim by that name. Y. Ter. VIII, 45ᶜ. Y. Bets. I, 60ᶜ bot.; a. fr. V. Frank. M’bo p. 74ᵃ, sq.', 'number': '—2)'}]",,Jastrow Dictionary
Giddol,גִּידּוֹל,pr. n. m.,"[{'definition': '<i>Giddol</i>, name of several Amoraim. Y. Meg. III, end 74ᶜ <span dir=""rtl"">ר׳ גי׳</span>; <a class=""refLink"" href=""/Yoma.69b.3"" data-ref=""Yoma 69b:3"">Yoma 69ᵇ</a> <span dir=""rtl"">ר׳ גדל</span>. Y. Bets. I, 60ᵃ (without title). <a class=""refLink"" href=""/Kiddushin.59a.8"" data-ref=""Kiddushin 59a:8"">Kidd. 59ᵃ</a> <span dir=""rtl"">ר׳ גידל</span>; a. fr.—G. b. Binyamin, b. Minyamin (Minyomi). Y. Pes. VIII, end, 36ᵇ.—Y. B. Bath. III, 14ᵃ; Bab. <a class=""refLink"" href=""/Bava_Batra.39b.4"" data-ref=""Bava Batra 39b:4"">B. Bath. 39ᵇ</a>; a. fr.—G. b. R’ulai. <a class=""refLink"" href=""/Gittin.34a.3"" data-ref=""Gittin 34a:3"">Gitt. 34ᵃ</a>'}]",,Jastrow Dictionary
,גִּידָּל,pr. n. m.,"[{'definition': ' pr. n. m., v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גִּידּוֹל.1"" data-ref=""Jastrow, גִּידּוֹל 1"">גִּידּוֹל</a>'}]",,Jastrow Dictionary
,הֵי I,pr. n. m.,"[{'definition': ' pr. n. m., v. <a class=""refLink"" href=""/Jastrow,_הֵא II.1"" data-ref=""Jastrow, הֵא II 1""><span dir=""rtl"">הֵא</span> II</a>'}]",,Jastrow Dictionary
,הִילָא I,pr. n. m.,"[{'definition': ' pr. n. m. = <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אִילָא.1"" data-ref=""Jastrow, אִילָא 1"">אִילָא</a>. Y. Yoma VI, 43ᶜ top; a. e.'}]",,Jastrow Dictionary
Hillel,הִילֵּל,pr. n. m.,"[{'definition': '<i>Hillel</i>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הִלֵּל.1"" data-ref=""Jastrow, הִלֵּל 1"">הִלֵּל</a>. [<a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הִילֵּל.1"" data-ref=""Jastrow, הִילֵּל 1"">הִילֵּל</a>, Pi. of <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הָלַל.1"" data-ref=""Jastrow, הָלַל 1"">הָלַל</a> q. v.]'}]",,Jastrow Dictionary
Emperor Caius Caligula,גַּיּוּס,pr. n. m.,"[{'definition': '<i>Caius, Gaius</i>, '}, {'definition': ' (mostly corrupt) used, in connection with <span dir=""rtl"">לוקיוס</span> (Lucius), to represent gentile names in general. <a class=""refLink"" href=""/Pesikta_Rabbati.21.1"" data-ref=""Pesikta Rabbati 21:1"">Pesik. R. s. 21</a> (ed. Fr. p. 107ᵃ; 107ᵇ) <span dir=""rtl"">ג׳ מן הגודר ולוקיוס מן וכ׳</span> e.g. Gaius of Gadara and Lucius of Susitha (Hippos). Ib. 108ᵃ (corr. acc.).—Y. Gitt. I, 43ᵇ top <span dir=""rtl"">גוים לוקין וכ׳</span> (corr. acc.) G. a. L. are the signers and ye ask yet (whether the signers must be personally known as Jews to the witnesses)? [Bab. <a class=""refLink"" href=""/Gittin.11b.1"" data-ref=""Gittin 11b:1"">ib. 11ᵇ</a> <span dir=""rtl"">לוקוס ולוס</span>, prob. <span dir=""rtl"">ל׳ וגיוס</span>.]—Y. Ter. X, 47ᵇ; Y. Ab. Zar. III, 42ᵃ [ref. to letters accompanying a ship load (?)].', 'number': '1)'}, {'definition': '<i>Emperor Caius Caligula</i>. Y. Sot. IX, 24ᵇ top <span dir=""rtl"">(<a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גוליקוס.1"" data-ref=""Jastrow, גוליקוס 1"">גוליקוס</a>) <span dir=""rtl"">גייס גוליקם</span></span>; Bab. <a class=""refLink"" href=""/Sotah.33a.8"" data-ref=""Sotah 33a:8"">Sot. 33ᵃ</a> <span dir=""rtl"">גסקלגס</span>; <a class=""refLink"" href=""/Shir_HaShirim_Rabbah.8.9.3"" data-ref=""Shir HaShirim Rabbah 8:9:3"">Cant. R. to VIII, 9</a> <span dir=""rtl"">גיוסלוקין</span> (corr. <span dir=""rtl"">גיוס קליגולס</span> = Καλιγούλας).', 'number': '—2)'}]",,Jastrow Dictionary
Bar-Giyore,גִּיּוֹרֵי,pr. n. m.,"[{'definition': '<i>Bar-Giyore</i> (son of proselytes). <a class=""refLink"" href=""/Moed_Katan.18a.17"" data-ref=""Moed Katan 18a:17"">M. Kat. 18ᵃ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גִּיּוֹרֵי.1"" data-ref=""Jastrow, גִּיּוֹרֵי 1"">בר ג׳</a> (Ms. M. <span dir=""rtl"">גיורא</span>); <a class=""refLink"" href=""/Eruvin.62a.9"" data-ref=""Eruvin 62a:9"">Erub. 62ᵃ</a>.—<a class=""refLink"" href=""/Bereishit_Rabbah.35.3"" data-ref=""Bereishit Rabbah 35:3"">Gen. R. s. 35</a> <span dir=""rtl"">יודן בר ג׳</span>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.31.1"" data-ref=""Yalkut Shimoni on Nach 31:1"">Yalk. Josh. 31</a> (some ed. <span dir=""rtl"">גירו</span>); <a class=""refLink"" href=""/Moed_Katan.9a"" data-ref=""Moed Katan 9a"">M. Kat. 9ᵃ</a>; Tanḥ. <a class=""refLink"" href=""/Genesis.13"" data-ref=""Genesis 13"">B’resh. 13</a> <span dir=""rtl"">יהודה בן גרים</span>.'}]",,Jastrow Dictionary
,גַּיָּיס,pr. n. m.,"[{'definition': ' (גּוּס II) <i>troop</i>, esp. <i>ravaging troop, invaders, robbers</i> (= b. h. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גְּדוּד I.1"" data-ref=""Jastrow, גְּדוּד I 1"">גְּדוּד</a>). <a class=""refLink"" href=""/Mishnah_Pesachim.3.7"" data-ref=""Mishnah Pesachim 3:7"">Pes. III, 7</a> (<a class=""refLink"" href=""/Pesachim.49a.4"" data-ref=""Pesachim 49a:4"">49ᵃ</a>) (if one left his home) <span dir=""rtl"">להציל מן הג׳</span> Y. ed. a. Ms. M. (ed. <span dir=""rtl"">עכום</span>, <span dir=""rtl"">גויים</span>, v. Rabb. D. S. a. l. note) to rescue (Israelites &c.) from an invading troop. <a class=""refLink"" href=""/Yevamot.122b.5"" data-ref=""Yevamot 122b:5"">Yeb. 122ᵇ</a> <span dir=""rtl"">רדף אחרינו ג׳</span> a band pursued us; a. fr.—Pl. <span dir=""rtl"">גַּיָּיסוֹת</span>. <a class=""refLink"" href=""/Mishnah_Yevamot.16.7"" data-ref=""Mishnah Yevamot 16:7"">Ib. XVI, 7</a> (<a class=""refLink"" href=""/Yevamot.122a.11"" data-ref=""Yevamot 122a:11"">122ᵃ</a>) the country is <span dir=""rtl"">משובשת בג׳</span> in confusion on account of invaders. <a class=""refLink"" href=""/Ruth_Rabbah.2.10"" data-ref=""Ruth Rabbah 2:10"">Ruth R. to I, 5</a>; a. fr.—Denom. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גּוּס II.1"" data-ref=""Jastrow, גּוּס II 1"">גִּיֵּיס</a> <i>to arrange battle, to orderout troops; to array</i>. Ib. <span dir=""rtl"">כמה גייסות … לגַיֵּיס</span> how many troops can I send out. Ib.; <a class=""refLink"" href=""/Vayikra_Rabbah.17"" data-ref=""Vayikra Rabbah 17"">Lev. R. s. 17</a> <span dir=""rtl"">התחיל מְגַיֵּיס חיילותיו וכ׳</span> he began to arrange his armies for battle; a. fr. [<a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גַּיּוּס.1"" data-ref=""Jastrow, גַּיּוּס 1"">גייס</a> pr. n. m., v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_גַּיּוּס.1"" data-ref=""Jastrow, גַּיּוּס 1"">גַּיּוּס</a>.]'}]",,Jastrow Dictionary
Hini,הִינִי,pr. n. m.,"[{'definition': ' pr. n. pl. <i>Hini</i>, a Babylonian place near Pumbeditha, a twin-town of Shili. <a class=""refLink"" href=""/Gittin.80a"" data-ref=""Gittin 80a"">Gitt. 80ᵃ</a>. <a class=""refLink"" href=""/Beitzah.25b.5"" data-ref=""Beitzah 25b:5"">Bets. 25ᵇ</a>. <a class=""refLink"" href=""/Bava_Metzia.72b.15"" data-ref=""Bava Metzia 72b:15"">B. Mets. 72ᵇ</a>', 'number': '1)'}, {'definition': ' pr. n. m. <i>Hini</i>. <a class=""refLink"" href=""/Shabbat.147a.7"" data-ref=""Shabbat 147a:7"">Sabb. 147ᵃ</a> <span dir=""rtl"">אסי בר ה׳</span> (Ms. M. <span dir=""rtl"">ר׳ א׳ בר חני</span>, v. Rabb. D. S. a. l. note).', 'number': '—2)'}, {'definition': ' <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הִינוּ.1"" data-ref=""Jastrow, הִינוּ 1"">בית ה׳</a> pr. n. pl. <i>Beth Hini</i> [Bethania], a place near Jerusalem (v. Neub. Géogr. p. 149 sq.). <a class=""refLink"" href=""/Bava_Metzia.88a.9"" data-ref=""Bava Metzia 88a:9"">B. Mets. 88ᵃ</a> <span dir=""rtl"">חניות של בית הינו</span> (Ms. H. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_חנן.1"" data-ref=""Jastrow, חנן 1"">חנן</a>; Y. Peah I, 16ᶜ bot. <span dir=""rtl"">בני חנון</span>; <a class=""refLink"" href=""/Sifrei_Devarim.105.19"" data-ref=""Sifrei Devarim 105:19"">Sifré Deut. 105</a> <span dir=""rtl"">בני חנן</span>) the shops of B. <a class=""refLink"" href=""/Pesachim.53a.5"" data-ref=""Pesachim 53a:5"">Pes. 53ᵃ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_הִינוּ.1"" data-ref=""Jastrow, הִינוּ 1"">בית ה׳</a> (Ms. M. <span dir=""rtl"">בייתני</span>); <a class=""refLink"" href=""/Tosefta_Shevi\'it.7.14"" data-ref=""Tosefta Shevi\'it 7:14"">Tosef. Shebi. VII, 14</a> <span dir=""rtl"">ביתייני</span>, <span dir=""rtl"">ביתיאני</span>; <a class=""refLink"" href=""/Eruvin.28b"" data-ref=""Eruvin 28b"">Erub. 28ᵇ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_בית־יוני.1"" data-ref=""Jastrow, בית־יוני 1"">ביתיוני</a> (Ms. M. <span dir=""rtl"">בית ואני</span>); v. <a class=""refLink"" href=""/Jastrow,_אוֹנִי II.1"" data-ref=""Jastrow, אוֹנִי II 1""><span dir=""rtl"">אוֹנִי</span> II</a>.', 'number': '—3)'}]",,Jastrow Dictionary
Hinak,הִינָק,pr. n. m.,"[{'definition': ' (?) pr. n. m. <i>Hinak</i>. <a class=""refLink"" href=""/Pesachim.101b.3"" data-ref=""Pesachim 101b:3"">Pes. 101ᵇ</a> the school of <span dir=""rtl"">רב ה׳ … בר ה׳</span> Rab H., or according to some, Bar H.; (Ms. M. <span dir=""rtl"">רב הימנק</span> a. <span dir=""rtl"">רב הינק</span>; v. Rabb. D. S. a. l. note).'}]",,Jastrow Dictionary
